time,distance,velocity,mach,target_drop,drop_adj,windage,windage_adj,look_distance,angle,density_factor
0.000 s,0.0 m,900.0 km/h,0.73 mach,-49.240 mm,0.0000 °,0.000 mm,0.0000 °,0.0 m,12.5759 °,2.173e-05
0.291 s,70.0 m,871.6 km/h,0.71 mach,2767.248 mm,2.2143 °,0.000 mm,0.0000 °,71.1 m,11.9259 °,-1.434e-03
0.591 s,140.0 m,844.3 km/h,0.69 mach,4740.097 mm,1.8986 °,0.000 mm,0.0000 °,142.2 m,11.2331 °,-2.810e-03
0.900 s,210.0 m,818.1 km/h,0.67 mach,5818.333 mm,1.5555 °,0.000 mm,0.0000 °,213.2 m,10.4949 °,-4.096e-03
1.218 s,280.0 m,792.7 km/h,0.65 mach,5948.254 mm,1.1941 °,0.000 mm,0.0000 °,284.3 m,9.7087 °,-5.291e-03
1.545 s,350.0 m,768.3 km/h,0.63 mach,5073.226 mm,0.8158 °,0.000 mm,0.0000 °,355.4 m,8.8716 °,-6.383e-03
1.882 s,420.0 m,744.9 km/h,0.61 mach,3133.541 mm,0.4204 °,0.000 mm,0.0000 °,426.5 m,7.9806 °,-7.373e-03
2.228 s,490.0 m,722.3 km/h,0.59 mach,66.225 mm,0.0076 °,0.000 mm,0.0000 °,497.6 m,7.0329 °,-8.255e-03
2.585 s,560.0 m,700.6 km/h,0.57 mach,-4195.148 mm,-0.4232 °,0.000 mm,0.0000 °,568.6 m,6.0252 °,-9.020e-03
2.952 s,630.0 m,679.7 km/h,0.56 mach,-9720.676 mm,-0.8729 °,0.000 mm,0.0000 °,639.7 m,4.9543 °,-9.660e-03
3.329 s,700.0 m,659.7 km/h,0.54 mach,-16584.348 mm,-1.3421 °,0.000 mm,0.0000 °,710.8 m,3.8171 °,-1.017e-02
