time,distance,velocity,mach,height,target_drop,drop_adj,windage,windage_adj,look_distance,angle,density_factor,drag,energy,ogw,flag
0.000 s,0.0,900.0 km/h,0.73 mach,-50.0,-50.000 mm,0.0000 °,0.000 mm,0.0000 °,0.0 m,0.4942 °,2.173e-05,0.000,0 J,0.000 kg,RANGE
0.004 s,1.0,899.6 km/h,0.73 mach,-41.472,-41.472 mm,-2.3748 °,0.000 mm,0.0000 °,1.0 m,0.4852 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.008 s,2.0,899.3 km/h,0.73 mach,-33.101,-33.101 mm,-0.9482 °,0.000 mm,0.0000 °,2.0 m,0.4762 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.012 s,3.0,898.9 km/h,0.73 mach,-24.888,-24.888 mm,-0.4753 °,0.000 mm,0.0000 °,3.0 m,0.4672 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.016 s,4.0,898.5 km/h,0.73 mach,-16.832,-16.832 mm,-0.2411 °,0.000 mm,0.0000 °,4.0 m,0.4582 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.020 s,5.0,898.1 km/h,0.73 mach,-8.933,-8.933 mm,-0.1024 °,0.000 mm,0.0000 °,5.0 m,0.4492 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.024 s,6.0,897.8 km/h,0.73 mach,-1.192,-1.192 mm,-0.0114 °,0.000 mm,0.0000 °,6.0 m,0.4401 °,2.173e-05,0.103,0 J,0.000 kg,ZERO_UP|RANGE
0.028 s,7.0,897.4 km/h,0.73 mach,6.392,6.392 mm,0.0523 °,0.000 mm,0.0000 °,7.0 m,0.4311 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.032 s,8.0,897.0 km/h,0.73 mach,13.817,13.817 mm,0.0990 °,0.000 mm,0.0000 °,8.0 m,0.4221 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.036 s,9.0,896.6 km/h,0.73 mach,21.085,21.085 mm,0.1342 °,0.000 mm,0.0000 °,9.0 m,0.4130 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.040 s,10.0,896.3 km/h,0.73 mach,28.194,28.194 mm,0.1615 °,0.000 mm,0.0000 °,10.0 m,0.4039 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.044 s,11.0,895.9 km/h,0.73 mach,35.145,35.145 mm,0.1831 °,0.000 mm,0.0000 °,11.0 m,0.3949 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.048 s,12.0,895.5 km/h,0.73 mach,41.938,41.938 mm,0.2002 °,0.000 mm,0.0000 °,12.0 m,0.3858 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.052 s,13.0,895.2 km/h,0.73 mach,48.572,48.572 mm,0.2141 °,0.000 mm,0.0000 °,13.0 m,0.3767 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.056 s,14.0,894.8 km/h,0.73 mach,55.048,55.048 mm,0.2253 °,0.000 mm,0.0000 °,14.0 m,0.3676 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.060 s,15.0,894.4 km/h,0.73 mach,61.365,61.365 mm,0.2344 °,0.000 mm,0.0000 °,15.0 m,0.3585 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.064 s,16.0,894.0 km/h,0.73 mach,67.523,67.523 mm,0.2418 °,0.000 mm,0.0000 °,16.0 m,0.3494 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.068 s,17.0,893.7 km/h,0.73 mach,73.522,73.522 mm,0.2478 °,0.000 mm,0.0000 °,17.0 m,0.3403 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.072 s,18.0,893.3 km/h,0.73 mach,79.361,79.361 mm,0.2526 °,0.000 mm,0.0000 °,18.0 m,0.3312 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.076 s,19.0,892.9 km/h,0.73 mach,85.042,85.042 mm,0.2564 °,0.000 mm,0.0000 °,19.0 m,0.3220 °,2.173e-05,0.103,0 J,0.000 kg,RANGE
0.080 s,20.0,892.6 km/h,0.73 mach,90.563,90.563 mm,0.2594 °,0.000 mm,0.0000 °,20.0 m,0.3129 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.084 s,21.0,892.2 km/h,0.73 mach,95.924,95.924 mm,0.2617 °,0.000 mm,0.0000 °,21.0 m,0.3038 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.088 s,22.0,891.8 km/h,0.73 mach,101.126,101.126 mm,0.2634 °,0.000 mm,0.0000 °,22.0 m,0.2946 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.092 s,23.0,891.5 km/h,0.73 mach,106.168,106.168 mm,0.2645 °,0.000 mm,0.0000 °,23.0 m,0.2854 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.096 s,24.0,891.1 km/h,0.73 mach,111.05,111.050 mm,0.2651 °,0.000 mm,0.0000 °,24.0 m,0.2763 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.101 s,25.0,890.7 km/h,0.73 mach,115.771,115.771 mm,0.2653 °,0.000 mm,0.0000 °,25.0 m,0.2671 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.105 s,26.0,890.4 km/h,0.73 mach,120.333,120.333 mm,0.2652 °,0.000 mm,0.0000 °,26.0 m,0.2579 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.109 s,27.0,890.0 km/h,0.73 mach,124.734,124.734 mm,0.2647 °,0.000 mm,0.0000 °,27.0 m,0.2487 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.113 s,28.0,889.6 km/h,0.73 mach,128.975,128.975 mm,0.2639 °,0.000 mm,0.0000 °,28.0 m,0.2395 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.117 s,29.0,889.2 km/h,0.73 mach,133.055,133.055 mm,0.2629 °,0.000 mm,0.0000 °,29.0 m,0.2303 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.121 s,30.0,888.9 km/h,0.73 mach,136.974,136.974 mm,0.2616 °,0.000 mm,0.0000 °,30.0 m,0.2211 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.125 s,31.0,888.5 km/h,0.73 mach,140.733,140.733 mm,0.2601 °,0.000 mm,0.0000 °,31.0 m,0.2119 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.129 s,32.0,888.1 km/h,0.72 mach,144.33,144.330 mm,0.2584 °,0.000 mm,0.0000 °,32.0 m,0.2027 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.133 s,33.0,887.8 km/h,0.72 mach,147.766,147.766 mm,0.2566 °,0.000 mm,0.0000 °,33.0 m,0.1934 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
0.137 s,34.0,887.4 km/h,0.72 mach,151.041,151.041 mm,0.2545 °,0.000 mm,0.0000 °,34.0 m,0.1842 °,2.173e-05,0.102,0 J,0.000 kg,RANGE
